timestamp,machine_id,temperature_c,vibration_mm_s,runtime_hours,downtime_minutes,energy_kwh
2026-01-01 00:00:00,M001,64.48,1.94,0.83,0,25.3
2026-01-01 00:00:00,M002,56.09,1.97,0.8,10,11.77
2026-01-01 00:00:00,M003,65.65,3.83,0.86,0,28.61
2026-01-01 01:00:00,M001,59.67,1.31,0.92,0,22.88
2026-01-01 01:00:00,M002,46.37,1.08,0.84,0,12.47
2026-01-01 01:00:00,M003,66.87,3.17,0.92,0,30.33
2026-01-01 02:00:00,M001,59.0,1.88,0.82,0,22.8
2026-01-01 02:00:00,M002,57.41,1.75,0.86,0,9.78
2026-01-01 02:00:00,M003,61.36,3.62,0.82,0,32.22
2026-01-01 03:00:00,M001,62.86,1.95,0.88,0,23.4
2026-01-01 03:00:00,M002,48.16,1.82,0.83,0,11.34
2026-01-01 03:00:00,M003,59.18,3.09,0.8,0,31.84
2026-01-01 04:00:00,M001,67.15,2.37,0.97,0,22.32
2026-01-01 04:00:00,M002,48.76,1.36,0.86,0,10.81
2026-01-01 04:00:00,M003,72.06,4.31,0.82,0,29.78
2026-01-01 05:00:00,M001,67.02,2.14,0.95,0,27.08
2026-01-01 05:00:00,M002,39.52,1.75,0.86,0,11.09
2026-01-01 05:00:00,M003,66.5,3.37,0.88,0,31.07
2026-01-01 06:00:00,M001,57.96,1.8,0.96,0,25.83
2026-01-01 06:00:00,M002,51.32,1.53,0.96,5,11.97
2026-01-01 06:00:00,M003,64.49,3.3,0.96,5,28.82
2026-01-01 07:00:00,M001,54.68,2.0,0.88,0,23.53
2026-01-01 07:00:00,M002,48.63,1.26,0.9,0,10.84
2026-01-01 07:00:00,M003,70.02,3.65,0.99,0,29.78
2026-01-01 08:00:00,M001,52.41,1.99,0.81,0,24.12
2026-01-01 08:00:00,M002,59.85,1.44,0.83,0,11.3
2026-01-01 08:00:00,M003,73.71,3.95,0.87,0,32.37
2026-01-01 09:00:00,M001,57.45,2.23,0.82,0,28.38
2026-01-01 09:00:00,M002,46.04,1.33,0.94,0,11.1
2026-01-01 09:00:00,M003,65.48,2.57,0.93,0,30.21
2026-01-01 10:00:00,M001,57.4,2.62,0.98,5,22.43
2026-01-01 10:00:00,M002,48.71,1.74,0.96,0,9.77
2026-01-01 10:00:00,M003,59.96,3.61,0.87,0,30.78
2026-01-01 11:00:00,M001,65.91,2.21,0.98,0,24.59
2026-01-01 11:00:00,M002,47.28,1.57,0.8,0,11.29
2026-01-01 11:00:00,M003,64.43,4.62,0.93,0,31.42
2026-01-01 12:00:00,M001,57.13,2.31,0.93,0,26.32
2026-01-01 12:00:00,M002,46.72,1.75,0.82,0,12.9
2026-01-01 12:00:00,M003,63.55,3.01,0.98,0,29.77
2026-01-01 13:00:00,M001,63.71,2.01,0.92,0,26.91
2026-01-01 13:00:00,M002,52.5,1.24,0.99,10,9.93
2026-01-01 13:00:00,M003,70.41,3.37,0.8,5,32.14
2026-01-01 14:00:00,M001,64.37,1.97,0.97,0,22.31
2026-01-01 14:00:00,M002,43.94,1.56,0.99,0,9.75
2026-01-01 14:00:00,M003,63.58,3.59,0.98,0,30.17
2026-01-01 15:00:00,M001,56.29,2.43,0.87,0,26.11
2026-01-01 15:00:00,M002,52.06,1.65,0.96,0,11.52
2026-01-01 15:00:00,M003,87.26,4.07,0.98,0,31.95
2026-01-01 16:00:00,M001,58.14,1.91,0.89,0,23.03
2026-01-01 16:00:00,M002,50.33,1.71,0.81,0,9.39
2026-01-01 16:00:00,M003,65.64,4.15,0.95,0,30.19
2026-01-01 17:00:00,M001,56.61,1.71,0.81,0,24.43
2026-01-01 17:00:00,M002,58.58,1.69,0.96,0,8.97
2026-01-01 17:00:00,M003,68.93,3.02,0.81,10,29.66
2026-01-01 18:00:00,M001,64.52,2.35,0.83,0,21.6
2026-01-01 18:00:00,M002,48.66,2.03,0.93,0,11.4
2026-01-01 18:00:00,M003,78.61,4.12,0.87,0,25.44
2026-01-01 19:00:00,M001,59.58,2.18,0.89,0,25.55
2026-01-01 19:00:00,M002,37.03,1.19,0.88,0,10.75
2026-01-01 19:00:00,M003,61.76,3.24,0.87,0,30.39
2026-01-01 20:00:00,M001,67.82,2.0,0.81,0,22.04
2026-01-01 20:00:00,M002,51.85,1.52,0.99,0,10.61
2026-01-01 20:00:00,M003,75.93,2.76,0.99,0,36.4
2026-01-01 21:00:00,M001,52.24,2.11,0.81,0,22.75
2026-01-01 21:00:00,M002,47.64,1.75,0.93,5,11.36
2026-01-01 21:00:00,M003,64.54,3.99,0.86,0,31.89
2026-01-01 22:00:00,M001,65.74,2.24,0.87,0,23.96
2026-01-01 22:00:00,M002,50.47,1.66,0.97,0,10.8
2026-01-01 22:00:00,M003,72.13,3.99,0.86,5,33.92
2026-01-01 23:00:00,M001,62.11,2.13,0.99,0,23.74
2026-01-01 23:00:00,M002,46.73,2.13,0.93,0,9.99
2026-01-01 23:00:00,M003,61.93,3.87,0.82,0,31.89
2026-01-02 00:00:00,M001,62.38,1.73,0.87,0,25.95
2026-01-02 00:00:00,M002,49.41,1.62,0.92,0,10.44
2026-01-02 00:00:00,M003,69.22,3.2,0.82,15,28.59
2026-01-02 01:00:00,M001,63.16,1.42,0.96,10,21.19
2026-01-02 01:00:00,M002,47.13,1.44,0.88,5,11.31
2026-01-02 01:00:00,M003,75.38,3.49,0.8,0,26.99
2026-01-02 02:00:00,M001,63.61,1.67,0.99,0,25.04
2026-01-02 02:00:00,M002,56.13,1.71,0.84,10,10.6
2026-01-02 02:00:00,M003,69.12,3.51,0.99,0,30.29
2026-01-02 03:00:00,M001,58.13,2.58,0.89,0,25.92
2026-01-02 03:00:00,M002,53.49,1.56,0.86,0,13.19
2026-01-02 03:00:00,M003,63.96,2.23,0.92,0,28.42
2026-01-02 04:00:00,M001,63.71,2.75,0.94,0,25.9
2026-01-02 04:00:00,M002,47.69,1.1,0.99,5,12.83
2026-01-02 04:00:00,M003,73.9,3.22,0.99,0,24.86
2026-01-02 05:00:00,M001,68.77,1.95,0.88,0,26.48
2026-01-02 05:00:00,M002,50.02,1.51,0.89,0,10.55
2026-01-02 05:00:00,M003,71.11,3.57,0.85,0,31.54
2026-01-02 06:00:00,M001,54.33,2.51,0.9,0,24.66
2026-01-02 06:00:00,M002,47.01,1.85,0.91,0,11.07
2026-01-02 06:00:00,M003,66.76,4.08,0.94,0,31.94
2026-01-02 07:00:00,M001,68.84,2.42,0.88,0,20.48
2026-01-02 07:00:00,M002,48.92,1.72,0.88,0,12.5
2026-01-02 07:00:00,M003,68.37,2.48,0.89,15,29.83
2026-01-02 08:00:00,M001,51.66,1.96,0.82,0,21.39
2026-01-02 08:00:00,M002,52.68,1.61,0.84,0,10.06
2026-01-02 08:00:00,M003,67.69,4.07,0.84,0,27.04
2026-01-02 09:00:00,M001,64.52,1.79,0.84,0,22.41
2026-01-02 09:00:00,M002,49.57,1.19,0.9,0,10.45
2026-01-02 09:00:00,M003,62.01,3.08,0.97,5,30.64
2026-01-02 10:00:00,M001,61.44,1.91,0.84,0,25.23
2026-01-02 10:00:00,M002,53.03,1.42,0.92,0,8.7
2026-01-02 10:00:00,M003,76.22,3.35,0.9,0,31.73
2026-01-02 11:00:00,M001,63.56,1.95,0.91,0,22.09
2026-01-02 11:00:00,M002,46.97,1.07,0.82,5,10.35
2026-01-02 11:00:00,M003,62.59,4.51,0.96,0,32.64
2026-01-02 12:00:00,M001,62.39,1.66,0.89,0,27.05
2026-01-02 12:00:00,M002,52.16,1.24,0.93,0,9.62
2026-01-02 12:00:00,M003,61.01,3.84,0.84,0,28.05
2026-01-02 13:00:00,M001,59.56,2.02,0.88,15,22.34
2026-01-02 13:00:00,M002,49.04,1.23,0.83,0,10.42
2026-01-02 13:00:00,M003,71.78,3.56,0.91,0,32.25
2026-01-02 14:00:00,M001,58.69,2.23,0.9,0,22.47
2026-01-02 14:00:00,M002,42.78,1.58,0.86,0,10.1
2026-01-02 14:00:00,M003,67.67,2.77,0.87,0,28.04
2026-01-02 15:00:00,M001,62.24,2.4,0.85,0,22.85
2026-01-02 15:00:00,M002,52.12,1.93,0.87,5,8.53
2026-01-02 15:00:00,M003,64.02,3.72,0.99,0,28.19
2026-01-02 16:00:00,M001,62.43,1.94,0.83,0,26.34
2026-01-02 16:00:00,M002,51.02,1.35,0.83,0,10.57
2026-01-02 16:00:00,M003,69.45,4.75,0.88,0,32.61
2026-01-02 17:00:00,M001,60.37,1.18,0.89,0,21.98
2026-01-02 17:00:00,M002,50.07,2.0,0.88,0,11.33
2026-01-02 17:00:00,M003,66.9,3.64,0.82,10,32.31
2026-01-02 18:00:00,M001,54.61,2.46,0.92,0,24.68
2026-01-02 18:00:00,M002,48.34,1.55,0.83,0,11.25
2026-01-02 18:00:00,M003,72.15,2.99,0.95,5,30.21
2026-01-02 19:00:00,M001,59.61,2.42,0.82,0,22.98
2026-01-02 19:00:00,M002,48.92,1.21,0.85,0,10.56
2026-01-02 19:00:00,M003,69.89,4.02,0.94,0,34.07
2026-01-02 20:00:00,M001,58.13,1.5,0.89,10,20.44
2026-01-02 20:00:00,M002,55.98,1.58,0.9,0,9.87
2026-01-02 20:00:00,M003,68.55,3.94,0.94,0,31.44
2026-01-02 21:00:00,M001,63.12,2.75,0.88,0,26.69
2026-01-02 21:00:00,M002,46.04,1.46,0.92,0,11.06
2026-01-02 21:00:00,M003,73.47,3.41,0.96,0,28.72
2026-01-02 22:00:00,M001,56.94,1.34,0.87,0,25.65
2026-01-02 22:00:00,M002,50.29,1.4,0.84,0,12.67
2026-01-02 22:00:00,M003,66.77,3.34,0.98,0,21.91
2026-01-02 23:00:00,M001,61.73,2.74,0.8,0,26.25
2026-01-02 23:00:00,M002,48.92,1.17,0.81,0,13.57
2026-01-02 23:00:00,M003,68.3,3.62,0.84,0,29.57
2026-01-03 00:00:00,M001,61.84,1.78,0.96,0,22.57
2026-01-03 00:00:00,M002,50.43,0.7,0.88,0,12.09
2026-01-03 00:00:00,M003,66.29,3.28,0.93,0,25.78
2026-01-03 01:00:00,M001,58.11,2.37,0.81,0,26.54
2026-01-03 01:00:00,M002,52.89,1.16,0.93,0,10.48
2026-01-03 01:00:00,M003,70.45,3.36,0.94,5,28.88
2026-01-03 02:00:00,M001,60.2,2.46,0.86,5,21.84
2026-01-03 02:00:00,M002,52.46,1.6,0.88,5,9.75
2026-01-03 02:00:00,M003,65.39,4.13,0.92,0,27.89
2026-01-03 03:00:00,M001,54.96,1.49,0.91,0,27.51
2026-01-03 03:00:00,M002,50.84,1.47,0.97,0,10.46
2026-01-03 03:00:00,M003,70.0,3.57,0.89,0,30.45
2026-01-03 04:00:00,M001,63.54,1.32,0.83,0,21.3
2026-01-03 04:00:00,M002,52.97,1.51,0.83,0,11.35
2026-01-03 04:00:00,M003,68.98,2.91,0.93,0,31.22
2026-01-03 05:00:00,M001,53.49,2.1,0.92,0,25.97
2026-01-03 05:00:00,M002,42.64,1.12,0.83,0,10.38
2026-01-03 05:00:00,M003,68.13,3.61,0.85,0,27.73
2026-01-03 06:00:00,M001,57.38,1.46,0.91,0,22.05
2026-01-03 06:00:00,M002,54.21,1.65,0.95,0,11.18
2026-01-03 06:00:00,M003,65.12,3.57,0.87,0,37.68
2026-01-03 07:00:00,M001,61.52,1.99,0.94,0,27.54
2026-01-03 07:00:00,M002,52.83,1.33,0.85,0,11.63
2026-01-03 07:00:00,M003,72.86,3.06,0.98,0,29.26
2026-01-03 08:00:00,M001,61.63,2.25,0.97,0,24.36
2026-01-03 08:00:00,M002,44.66,1.67,0.94,0,12.08
2026-01-03 08:00:00,M003,67.65,2.5,0.84,0,31.29
2026-01-03 09:00:00,M001,63.04,1.57,0.98,10,26.11
2026-01-03 09:00:00,M002,49.84,1.7,0.86,0,11.03
2026-01-03 09:00:00,M003,68.15,3.56,0.85,0,28.61
2026-01-03 10:00:00,M001,63.11,1.81,0.81,0,26.51
2026-01-03 10:00:00,M002,46.42,1.93,0.86,0,11.2
2026-01-03 10:00:00,M003,69.34,4.03,0.99,0,30.25
2026-01-03 11:00:00,M001,67.33,1.79,0.9,0,26.82
2026-01-03 11:00:00,M002,48.22,1.94,0.85,0,12.58
2026-01-03 11:00:00,M003,65.39,2.69,0.86,0,27.24
2026-01-03 12:00:00,M001,61.83,2.09,0.84,10,27.1
2026-01-03 12:00:00,M002,46.01,1.8,0.99,0,10.79
2026-01-03 12:00:00,M003,62.39,3.73,0.92,0,30.5
2026-01-03 13:00:00,M001,64.46,1.74,0.84,0,22.94
2026-01-03 13:00:00,M002,47.45,1.86,0.94,0,12.42
2026-01-03 13:00:00,M003,65.15,3.17,0.84,0,31.9
2026-01-03 14:00:00,M001,69.74,2.72,0.98,10,22.77
2026-01-03 14:00:00,M002,48.45,1.59,0.93,0,11.33
2026-01-03 14:00:00,M003,67.12,3.02,0.94,0,25.86
2026-01-03 15:00:00,M001,58.35,1.79,0.97,0,24.45
2026-01-03 15:00:00,M002,60.11,1.34,0.94,0,10.51
2026-01-03 15:00:00,M003,73.22,3.85,0.96,0,28.92
2026-01-03 16:00:00,M001,66.1,2.2,0.92,0,26.13
2026-01-03 16:00:00,M002,54.68,1.45,0.87,0,11.15
2026-01-03 16:00:00,M003,69.84,3.26,0.8,0,30.09
2026-01-03 17:00:00,M001,68.39,2.08,0.93,0,24.09
2026-01-03 17:00:00,M002,52.58,2.15,0.95,0,10.69
2026-01-03 17:00:00,M003,69.1,3.44,0.93,10,30.84
2026-01-03 18:00:00,M001,59.77,2.08,0.81,0,26.15
2026-01-03 18:00:00,M002,45.89,1.86,0.81,5,9.48
2026-01-03 18:00:00,M003,65.21,3.73,0.94,0,34.7
2026-01-03 19:00:00,M001,61.67,1.42,0.83,0,19.6
2026-01-03 19:00:00,M002,45.92,1.71,0.93,0,11.24
2026-01-03 19:00:00,M003,65.18,3.89,0.88,0,29.7
2026-01-03 20:00:00,M001,54.37,1.72,0.98,0,23.91
2026-01-03 20:00:00,M002,50.97,1.12,0.97,0,12.44
2026-01-03 20:00:00,M003,69.71,3.77,0.95,0,31.71
2026-01-03 21:00:00,M001,64.24,2.08,0.96,0,25.42
2026-01-03 21:00:00,M002,47.29,2.04,0.81,0,10.96
2026-01-03 21:00:00,M003,60.85,4.0,0.86,0,28.04
2026-01-03 22:00:00,M001,59.74,1.03,0.94,5,20.83
2026-01-03 22:00:00,M002,53.04,1.21,0.85,15,10.95
2026-01-03 22:00:00,M003,67.98,2.8,0.91,0,34.51
2026-01-03 23:00:00,M001,66.39,2.08,0.82,0,19.92
2026-01-03 23:00:00,M002,45.99,1.42,0.96,0,12.8
2026-01-03 23:00:00,M003,71.2,4.34,0.81,10,32.77
2026-01-04 00:00:00,M001,62.3,1.74,0.94,0,25.4
2026-01-04 00:00:00,M002,51.57,1.81,0.82,5,10.46
2026-01-04 00:00:00,M003,74.59,3.62,0.91,0,36.23
2026-01-04 01:00:00,M001,58.55,1.74,0.97,0,23.03
2026-01-04 01:00:00,M002,52.09,1.33,0.91,0,10.98
2026-01-04 01:00:00,M003,78.71,3.52,0.84,0,30.36
2026-01-04 02:00:00,M001,60.71,1.33,0.95,0,24.8
2026-01-04 02:00:00,M002,52.59,1.13,1.0,0,9.54
2026-01-04 02:00:00,M003,69.12,4.13,0.9,5,35.05
2026-01-04 03:00:00,M001,59.71,1.93,0.86,0,25.77
2026-01-04 03:00:00,M002,55.91,1.91,0.94,5,10.37
2026-01-04 03:00:00,M003,69.98,3.17,0.99,0,27.99
2026-01-04 04:00:00,M001,61.87,2.47,0.89,0,25.09
2026-01-04 04:00:00,M002,48.52,1.84,0.83,0,9.26
2026-01-04 04:00:00,M003,61.53,4.2,0.99,0,28.6
2026-01-04 05:00:00,M001,63.73,2.03,0.87,0,21.43
2026-01-04 05:00:00,M002,43.77,1.37,0.83,0,12.5
2026-01-04 05:00:00,M003,72.25,3.31,0.97,0,36.23
2026-01-04 06:00:00,M001,67.15,2.1,0.85,0,23.48
2026-01-04 06:00:00,M002,49.21,1.72,0.81,0,11.05
2026-01-04 06:00:00,M003,71.66,3.45,0.81,0,30.24
2026-01-04 07:00:00,M001,52.01,2.37,0.89,0,24.69
2026-01-04 07:00:00,M002,58.35,1.46,0.84,0,12.11
2026-01-04 07:00:00,M003,62.8,3.13,0.97,0,35.74
2026-01-04 08:00:00,M001,66.35,2.2,0.9,0,24.3
2026-01-04 08:00:00,M002,51.46,1.56,0.81,10,12.05
2026-01-04 08:00:00,M003,73.53,4.21,0.88,0,31.92
2026-01-04 09:00:00,M001,56.28,2.12,1.0,0,22.49
2026-01-04 09:00:00,M002,49.74,1.6,0.91,0,11.32
2026-01-04 09:00:00,M003,70.11,3.35,0.87,0,32.89
2026-01-04 10:00:00,M001,64.99,2.28,0.96,0,23.4
2026-01-04 10:00:00,M002,55.5,1.45,0.86,0,11.02
2026-01-04 10:00:00,M003,75.97,2.99,0.85,0,27.03
2026-01-04 11:00:00,M001,51.23,2.66,0.92,0,26.02
2026-01-04 11:00:00,M002,53.93,1.4,0.81,0,8.5
2026-01-04 11:00:00,M003,79.45,2.67,0.92,0,25.06
2026-01-04 12:00:00,M001,68.92,2.23,0.99,0,25.19
2026-01-04 12:00:00,M002,53.41,1.73,0.85,5,11.28
2026-01-04 12:00:00,M003,64.23,3.33,0.86,0,24.92
2026-01-04 13:00:00,M001,61.51,2.07,0.86,0,26.78
